scenario,wind_u,c_spread,peak_C,seed,tau_s,v_spread,exposed,miss,miss_rate,dir_err,speed_err,n_confirmed,t_max,dt
S2a_10,0.1,0.05,300.0,7,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,8,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,9,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,10,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,11,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,12,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,13,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,14,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,300.0,15,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,1,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,2,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,3,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,4,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,5,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,6,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,7,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,8,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,9,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,10,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,11,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,12,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,13,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,14,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.05,500.0,15,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S2a_10,0.1,0.1,150.0,1,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,2,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,3,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,4,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,5,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,6,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,7,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,8,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,9,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,10,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,11,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,12,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,13,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,14,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,150.0,15,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,1,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,2,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,3,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,4,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,5,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,6,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,7,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,8,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,9,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,10,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,11,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,12,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,13,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,14,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,300.0,15,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,1,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,2,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,3,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,4,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,5,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,6,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,7,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,8,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,9,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,10,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,11,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,12,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,13,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,14,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.1,500.0,15,77.792,0.01,15,0,0.0,,,14,5531.2,0.1383
S2a_10,0.1,0.15,150.0,1,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,2,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,3,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,4,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,5,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,6,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,7,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,8,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,9,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,10,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,11,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,12,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,13,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,14,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,150.0,15,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,1,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,2,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,3,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,4,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,5,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,6,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,7,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,8,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,9,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,10,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,11,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,12,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,13,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,14,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,300.0,15,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,1,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,2,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,3,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,4,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,5,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,6,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,7,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,8,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,9,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,10,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,11,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,12,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,13,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,14,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.1,0.15,500.0,15,77.792,0.015,15,0,0.0,,,14,3768.6,0.1
S2a_10,0.5,0.05,150.0,1,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,2,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,3,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,4,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,5,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,6,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,7,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,8,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,9,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,10,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,11,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,12,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,13,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,14,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,150.0,15,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,1,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,2,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,3,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,4,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,5,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,6,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,7,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,8,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,9,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,10,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,11,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,12,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,13,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,14,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,300.0,15,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,1,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,2,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,3,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,4,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,5,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,6,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,7,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,8,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,9,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,10,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,11,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,12,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,13,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,14,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.05,500.0,15,34.79,0.025,15,0,0.0,,,14,2229.5,0.1
S2a_10,0.5,0.1,150.0,1,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,2,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,3,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,4,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,5,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,6,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,7,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,8,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,9,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,10,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,11,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,12,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,13,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,14,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,150.0,15,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,1,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,2,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,3,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,4,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,5,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,6,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,7,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,8,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,9,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,10,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,11,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,12,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,13,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,14,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,300.0,15,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,1,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,2,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,3,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,4,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,5,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,6,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,7,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,8,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,9,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,10,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,11,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,12,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,13,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,14,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.1,500.0,15,34.79,0.05,15,0,0.0,,,14,1171.9,0.1
S2a_10,0.5,0.15,150.0,1,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,2,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,3,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,4,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,5,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,6,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,7,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,8,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,9,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,10,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,11,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,12,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,13,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,14,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,150.0,15,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,1,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,2,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,3,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,4,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,5,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,6,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,7,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,8,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,9,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,10,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,11,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,12,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,13,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,14,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,300.0,15,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,1,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,2,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,3,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,4,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,5,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,6,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,7,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,8,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,9,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,10,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,11,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,12,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,13,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,14,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,0.5,0.15,500.0,15,34.79,0.075,15,0,0.0,,,14,819.4,0.1
S2a_10,1.0,0.05,150.0,1,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,2,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,3,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,4,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,5,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,6,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,7,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,8,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,9,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,10,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,11,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,12,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,13,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,14,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,150.0,15,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,1,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,2,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,3,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,4,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,5,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,6,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,7,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,8,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,9,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,10,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,11,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,12,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,13,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,14,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,300.0,15,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,500.0,1,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,500.0,2,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,500.0,3,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
S2a_10,1.0,0.05,500.0,4,24.6,0.05,15,0,0.0,,,14,1141.4,0.1
